"doc_id","company","funding_rounds","revenue","growth_total","growth_multiple","business_model_text","tweet_volume","score_100","pop_scale"
"5fae06029bbe793553b81c6aca0297c3","a10-networks",38000000,167200000,129200000,4.4,"Makes high-performance server appliances designed to help organizations of all sizes with security, speed, and performance. A10 Networks develops server load-balancing hardware especially for enterprise application delivery, carrier and Internet service p",6,0,0
"5fae06029bbe793553b81c6aca154a1e","acquia",38500000,21800000,-16700000,0.57,"Provides products, services, and technical support for the open source Drupal social publishing system for organizations such as Al Jazeera, Stanford University, and Twitter.",648,75.46,48900
"08ea75d0b39da8eeca1e9129c7964849","stella-dot",0,208100000,208100000,,"Sells jewelry through its network of commission-earning stylists, individuals who sign up with the company to host trunk sales of the merchandise in their local communities. Stylists can earn additional income by becoming coaches who lead and teach groups",448,81.03,36300
"bb00443be334273f59d3ef19d1c945b9","house-party",9950000,13100000,3150000,1.32,"Organizes ""house parties""events hosted by ""brand advocates"" selected from its community of social influencers to spread authentic brand recommendations to millions. Over the course of each eight to 12-week campaign, the hosts engage with one another and d",492,67.07,33000
"e054627bc6b1f1d8cb812cce426c55d9","opensky",41050000,28100000,-12950000,0.68,"An IT consultancy focused on helping organizations reduce costs, protect information assets, and accelerate the adoption of technologies that will make their business grow and improve. Its four practice areas are core infrastructure; technical business co",372,75.27,28000
"83097a0e1641e8eda5b5ac717ea2d443","modcloth",44800000,15600000,-29200000,0.35,"Founded by husband and wife team Eric Koger and Susan Gregg Koger, ModCloth is an online retailer that sells affordable women's fashions from independent designers. Its unique selection of indie clothing and engaging promotions on the ModLife blog and soc",425,58.59,24900
"bb00443be334273f59d3ef19d15b58f0","gogo",135000000,160200000,25200000,1.19,"Delivers branded in-flight Internet connectivity that allows air passengers to get online on more than 1,500 commercial and 5,000 private business aircraft. In 2006, the FCC awarded Gogo its exclusive air-to-ground (ATG) 3Mhz broadband frequency license, ",363,61.71,22400
"bb00443be334273f59d3ef19d15a5d86","godaddy",0,3474000000,3474000000,,"Offers domain name registration and hosting services for indiviudals and businesses. Additionally, the company provides e-commerce, security, productivity services, and marketing tools",454,43.61,19800
"83097a0e1641e8eda5b5ac717e3e7a1e","marketo",108400000,32900000,-75500000,0.3,"Develops marketing automation and sales effectiveness software that increases revenue performance.",403,44.42,17900
"08ea75d0b39da8eeca1e9129c7aafdd1","stumbleupon",18500000,5900000,-12600000,0.32,"StumbleUpon is an online content discovery engine that brings users to pages matched to their personal preferences. Users are presented only with those websites suggested by their friends or other 'stumblers' with similar interests. The New York Times lik",462,37.66,17400
"597e595b22c7371d2769eb1fa0f37e69","linkedin",103200000,243100000,139900000,2.36,"Provides a professional social media network for more than 100 million members. The company went public in May 2011.",447,37.36,16700
"e054627bc6b1f1d8cb812cce4249b17f","odesk",44000000,131000000,87000000,2.98,"Specializes in recruitment and job placement services for Web developers, software programmers, graphic designers, writers, and customer service representatives. More than 2.8 million hours were worked on oDesk's platform in March 2012 alone, for which oD",223,73.99,16500
"83097a0e1641e8eda5b5ac717eec7f23","nasty-gal",9000000,22900000,13900000,2.54,"Sells new and vintage clothing, accessories, and shoes online. Founder Sophia Amoruso started the company on eBay, selling one-of-a-kind vintage pieces that she sourced, styled, photographed, and shipped herself.",398,41.21,16400
"5885c8f942b2d53de0f9ff90e110263e","prodege",0,36000000,36000000,,"Operates Swagbucks.com, which rewards consumers for their online activities with virtual currency that they can redeem for real life rewards, goods, and services.",487,33.47,16300
"bb00443be334273f59d3ef19d1c4a831","hostgator",0,18700000,18700000,,"HostGator provides shared Web hosting, dedicated services, and reseller hosting to webmasters, small businesses, and hobbyists that have content to share nationwide.",357,44.54,15900
"4b9962595d7ff850d591b39c002d707d","dyn",0,27300000,27300000,,"Provides Internet infrastructure services that power domain name systems (DNS) and e-mail delivery for businesses of all sizes and for personal users. Customers include Twitter, Zappos and Netflix.",213,69.95,14900
"907373444553d8ee3bfe8778cd4a5483","tm-one",0,43300000,43300000,,"Assists companies with outsourcing database and customer relationship management for industries including financial, health care, and transportation.",291,50.52,14700
"5fae06029bbe793553b81c6acaff8d19","big-fish-games",83300000,182600000,99300000,2.19,"Big Fish Games develops casual games and publishes them online.",143,96.5,13800
"08ea75d0b39da8eeca1e9129c786b366","squarespace",38500000,19300000,-19200000,0.5,"Its software powers websites for businesses, bloggers, and professionals worldwide.",238,43.28,10300
"08ea75d0b39da8eeca1e9129c7afe4d4","sugarsync",51500000,11300000,-40200000,0.22,"Provides mobile cloud services that enable users to access, backup, sync, and share all of their data anytime, instantly and securely, from any Mac, PC, or mobile device. SugarSync offers the first five gigabytes of online storage for free, then the optio",162,58.64,9500
"e054627bc6b1f1d8cb812cce4298a828","pardot",0,7400000,7400000,,"Makes marketing automation software that gives its clients detailed analytics on their Web visitors and prospects and helps them increase their ROI.",151,58.28,8800
"4b9962595d7ff850d591b39c00af0c09","facebook",233570000,3700000,-229870000,0.02,"Runs a social networking platform that connects users with friends and family, offering them tools to share and express what matters to them. Monetizes its network through targeted display advertisements and revenue share from sales of virtual goods.",383,21.15,8100
"4b9962595d7ff850d591b39c009dbcf8","exacttarget",188210000,608400000,420190000,3.23,"Provides cross-channel, interactive marketing software-as-a-service that helps organizations of all sizes to communicate with their customers through e-mail, mobile devices, social media, and the Internet.",141,56.74,8000
"fb79c1faa23e6537889b8b58ca015e13","bigcommerce",15000000,27300000,12300000,1.82,"BigCommerce, formely Interspire, is the leading SaaS e-commerce shopping cart software. It has been chosen by well over 23,000 successful businesses looking to grow their businesses and revenues using the reach and affordability of e-commerce.",145,54.48,7900
"907373444553d8ee3bfe8778cdbfb991","utest",37800000,8600000,-29200000,0.23,"Utilizes a roster of more than 60,000 professional testers from 190 countries to provide real-world testing of Web, desktop, and mobile applications in development. uTest's services ensure that the applications function as intended, are free of security v",181,43.65,7900
"fb79c1faa23e6537889b8b58ca4fd61a","bronto-software",0,39900000,39900000,,"Provides a marketing platform for retailers and other commerce-focused companies to increase revenue through e-mail, mobile, and social campaigns. Its more than 1,000 customers include Trek and CoffeeForLess.com",97,76.29,7400
